"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Asclepias sullivantii","Gentianales","Apocynaceae","Asclepias","Asclepias sullivantii","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,2.4,5.8,0.1,60,"herb","Perennial",0.9,"yes"
"Asclepias syriaca","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",400,4.5,4.5,0.1,208,"herb","Perennial",1.35,"yes"
"Asclepias tuberosa","Gentianales","Apocynaceae","Asclepias","Asclepias tuberosa","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",1000,6.5,8,0.1,70,"herb","Perennial",0.45,"yes"
"Asclepias verticillata","Gentianales","Apocynaceae","Asclepias","Asclepias verticillata","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",80,5.5,9,0.1,48,"herb","Perennial",0.3,"yes"
"Ascerates viridiflora","Gentianales","Apocynaceae","Asclepias","Asclepias viridiflora","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",250,11.4517936507936,11.9841111111111,9.708425,75.1,"shrub","Perennial",1.72197995614035,"yes"
"Asiminia triloba","Magnoliales","Annonaceae","Asimina","Asimina triloba","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,20,20,2,50,"herb","Perennial",0.85,"yes"
"Asparagus officinalis","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2000,2.6,4.5,0.5,5,"vine","Perennial",0.55,"yes"
"Asperula gunnii","Gentianales","Rubiaceae","Asperula","Asperula gunnii","Dioecious","dioecious","none",0,"Tube","actinomorphic",100,3,2.5,0.5,2,"herb","Perennial",0.1,"yes"
"Asphodelus fistulosus","Asparagales","Asphodelaceae","Asphodelus","Asphodelus fistulosus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",500,8.5,1.5,5.5,6,"herb","Short lived",0.4,"yes"
"Aster ageratoides","Asterales","Asteraceae","Aster","Aster ageratoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",8,17.5,8,3,25,"herb","Perennial",0.75,"yes"
"Aster asa-grayi","Asterales","Asteraceae","Aster","Aster asa-grayi","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,22.5,10,3,100,"herb","Perennial",0.24,"yes"
"Aster diplostephioides","Asterales","Asteraceae","Aster","Aster diplostephioides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,15.3,30,5,200,"herb","Perennial",0.35,"yes"
"Aster glehni","Asterales","Asteraceae","Aster","Aster glehnii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",75,30,10.3358653421946,3,35,"herb","Perennial",1.35,"yes"
"Kalimeris pinnatifida","Asterales","Asteraceae","Aster","Aster iinumae","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,29.1,1.5,1,75,"herb","Perennial",0.75,"yes"
"Aster oreophilus","Asterales","Asteraceae","Aster","Aster oreophilus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,29.1,13.798991165987,5,75,"herb","Perennial",0.4,"yes"
"Aster salicifolius","Asterales","Asteraceae","Aster","Aster salicifolius","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,4,7,3,40,"herb","Perennial",1.05,"yes"
"Aster ageratoides amplexifolius","Asterales","Asteraceae","Aster","Aster satsumensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,19.1,8.81149725507335,3,75,"herb","Perennial",0.5,"yes"
"Aster souliei","Asterales","Asteraceae","Aster","Aster souliei","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,13.2,10,5,200,"herb","Perennial",0.235,"yes"
"Aster subulatus","Asterales","Asteraceae","Aster","Aster subulatus","Hermaphrodite","self_compatible","low",18.0118621428571,"Capitulum","actinomorphic",100,13,13,3,35,"herb","Short lived",0.15,"yes"
"Aster vestitus","Asterales","Asteraceae","Aster","Aster vestitus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,80,15,5,75,"herb","Perennial",0.95,"yes"
"Aster yunnanensis","Asterales","Asteraceae","Aster","Aster yunnanensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,62.5,9.1,5,75,"herb","Perennial",0.525,"yes"
"Astilbe thunbergii","Saxifragales","Saxifragaceae","Astilbe","Astilbe thunbergii","Hermaphrodite","self_compatible","low",15.7515761904762,"Brush","actinomorphic",300,6,2,1.8,100,"herb","Perennial",0.9,"yes"
"Astragalus alpinus","Fabales","Fabaceae","Astragalus","Astragalus alpinus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,9,12,12,7,"herb","Perennial",0.14,"yes"
"Astragalus canadensis","Fabales","Fabaceae","Astragalus","Astragalus canadensis","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,5,12.1,7.5,12,"herb","Perennial",0.9,"yes"
"Astragalus mexicanus","Fabales","Fabaceae","Astragalus","Astragalus mexicanus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,10,16,7.5,12,"herb","Perennial",0.45,"yes"
"Astragalus pullus","Fabales","Fabaceae","Astragalus","Astragalus pullus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,5,10,10,16,"shrub","Perennial",0.15,"yes"
"Capparis atamisquea","Brassicales","Capparaceae","Atamisquea","Atamisquea emarginata","Hermaphrodite","self_incompatible","none",3.5,"Open","zygomorphic",10000,13,8.30533333333333,6,23,"shrub","Perennial",4.5,"yes"
"Gerardia grandiflora","Lamiales","Orobanchaceae","Aureolaria","Aureolaria grandiflora","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",15,33,47.5,18,100,"herb","Perennial",1.05,"yes"
"Avicennia germinans","Lamiales","Acanthaceae","Avicennia","Avicennia germinans","Hermaphrodite","self_compatible","low",10,"Tube","actinomorphic",5000,10,6,4,4,"tree","Perennial",14,"yes"
"Ayenia tomentosa","Malvales","Malvaceae","Ayenia","Ayenia tomentosa","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,17.3385,6.06424362745098,0.5,10,"herb","Perennial",0.55,"yes"
"Azorina vidalii","Asterales","Campanulaceae","Azorina","Azorina vidalii","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",50,11,24,15,236.520216666667,"shrub","Perennial",1.2,"yes"
"Bacopa monniera","Lamiales","Plantaginaceae","Bacopa","Bacopa monnieri","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",10,7.5,10,4.1,178,"herb","Perennial",0.25,"no"
"Badula insularis","Ericales","Primulaceae","Badula","Badula insularis","Hermaphrodite","self_compatible","low",8.7476875,"Open","actinomorphic",300,5.40606666666667,3.22965,0.1,4,"tree","Perennial",3.5,"no"
"Badula platiphylla","Ericales","Primulaceae","Badula","Badula platyphylla","Hermaphrodite","self_compatible","low",11.15428125,"Open","actinomorphic",300,5.06715,3.37788461538462,0.1,4,"shrub","Perennial",1.5,"no"
"Baeckia gunniana","Myrtales","Myrtaceae","Baeckea","Baeckea gunniana","Hermaphrodite","self_compatible","low",14.4676666666667,"Open","actinomorphic",1500,4.5,1.3,0.6,19,"shrub","Perennial",0.75,"yes"
"Bakerella hoyifolia","Santalales","Loranthaceae","Bakerella","Bakerella hoyifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",400,4.1,24.5,25,8,"herb","Perennial",0.75,"yes"
"Baptisia leucantha","Fabales","Fabaceae","Baptisia","Baptisia alba","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",500,11.9077666666667,10.9219166666667,6,30,"herb","Perennial",0.9,"yes"
"Baptisia bracteata","Fabales","Fabaceae","Baptisia","Baptisia bracteata","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",600,14,16,12,18.5,"herb","Perennial",0.25,"yes"
"Barringtonia racemosa","Ericales","Lecythidaceae","Barringtonia","Barringtonia racemosa","Hermaphrodite","self_compatible","low",12.1439666666667,"Brush","actinomorphic",2000,20,23.4350071428571,41,5,"tree","Perennial",6,"yes"
"Bartsia alpina","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",10,5,17.5,17,94,"herb","Perennial",0.23,"yes"
"Bastardia viscosa","Malvales","Malvaceae","Bastardia","Bastardia viscosa","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",20,7.1,2,1,5,"herb","Perennial",1,"yes"
"Bauhinia japonica","Fabales","Fabaceae","Bauhinia","Bauhinia japonica","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",100,19.1,23.9017636904762,50,8,"vine","Perennial",6,"yes"
"Befaria glauca","Ericales","Ericaceae","Bejaria","Bejaria aestuans","Hermaphrodite","self_compatible","low",11.1987833333333,"Campanulate","actinomorphic",100,35,25,28.1,100,"tree","Perennial",7.1,"yes"
"Bertiera zaluzania","Gentianales","Rubiaceae","Bertiera","Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,15,15,15,100,"shrub","Perennial",1,"yes"
"Beta maritima","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",150,2.5,4,2.01,1,"herb","Perennial",0.5,"no"
"Bidens aristosa","Asterales","Asteraceae","Bidens","Bidens aristosa","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,60,24.1,6,56.5,"herb","Short lived",0.75,"yes"
"Bidens bipinnata","Asterales","Asteraceae","Bidens","Bidens bipinnata","Hermaphrodite","self_compatible","low",23.04963,"Capitulum","actinomorphic",5,7.5,2.1,2,19.5,"herb","Short lived",0.3,"yes"
"Bidens connata","Asterales","Asteraceae","Bidens","Bidens connata","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",15,14,3,6,70,"herb","Short lived",0.8,"yes"
"Bidens laevis","Asterales","Asteraceae","Bidens","Bidens laevis","Hermaphrodite","self_compatible","low",16.3244333333333,"Capitulum","actinomorphic",3,40,10,6,80,"herb","Perennial",0.5,"yes"
"Bidens pilosa","Asterales","Asteraceae","Bidens","Bidens pilosa","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,11,8,6,50,"herb","Short lived",0.85,"yes"
"Polygonum macrophyllum","Caryophyllales","Polygonaceae","Bistorta","Bistorta macrophylla","Hermaphrodite","self_compatible","low",16.564275,"Tube","actinomorphic",500,1,2.75,6,1,"herb","Perennial",0.15,"yes"
"Polygonum sinomontanum","Caryophyllales","Polygonaceae","Bistorta","Bistorta sinomontana","Hermaphrodite","self_compatible","low",15.83825,"Tube","actinomorphic",100,3,4.5,3.6,1,"herb","Perennial",0.7,"yes"
"Bistorta tenuicaulis","Caryophyllales","Polygonaceae","Bistorta","Bistorta tenuicaulis","Dioecious","self_compatible","low",15.5128,"Tube","actinomorphic",200,2,4.5,8,1,"herb","Perennial",0.5,"yes"
"Psoralea bituminosa","Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","Hermaphrodite","self_compatible","low",19.9269309523809,"Tube","zygomorphic",200,2.5,11.5,9,1,"herb","Short lived",0.275,"yes"
"Blainvillea dichotoma","Asterales","Asteraceae","Blainvillea","Blainvillea dichotoma","Hermaphrodite","self_compatible","medium",58.15821125,"Capitulum","actinomorphic",15,5.1,2.1,0.5,10,"herb","Short lived",0.5,"no"
"Blastus cochinchinensis","Myrtales","Melastomataceae","Blastus","Blastus cochinchinensis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,8,3,10,100,"shrub","Perennial",2,"no"
"Blephilia ciliata","Lamiales","Lamiaceae","Blephilia","Blephilia ciliata","Hermaphrodite","self_compatible","low",12.9186,"Tube","zygomorphic",80,7.107375,11.8568541666666,12,4,"herb","Perennial",0.45,"yes"
"Blephilia hirsuta","Lamiales","Lamiaceae","Blephilia","Blephilia hirsuta","Hermaphrodite","self_compatible","low",12.30935,"Tube","zygomorphic",75,7.1,10.1,10,4,"herb","Perennial",0.6,"yes"
"Arabis laevigata","Brassicales","Brassicaceae","Boechera","Boechera stricta","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",35,2.1,1.1,0.175,163,"herb","Short lived",0.575,"yes"
"Boerhaavia caribaea","Boraginales","Nyctaginaceae","Boerhaavia","Boerhavia caribaea","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",500,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes"
"Boerhaavia erecta","Caryophyllales","Nyctaginaceae","Boerhavia","Boerhavia erecta","Hermaphrodite","self_compatible","low",20.8044416666667,"Campanulate","actinomorphic",50,2,2,1.625,1,"herb","Short lived",0.5,"no"
"Commicarpus tuberosus","Fabales","Nyctaginaceae","Boerhavia","Boerhavia tuberosa","Hermaphrodite","self_compatible","low",16.600075,"Campanulate","actinomorphic",10,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes"
"Boltonia asteroides","Asterales","Asteraceae","Boltonia","Boltonia asteroides","Hermaphrodite","self_compatible","low",17.09865,"Capitulum","actinomorphic",15,67.5,9.1,3,90,"herb","Perennial",1.15,"yes"
"Bonnetia sessilis","Malpighiales","Bonnetiaceae","Bonnetia","Bonnetia sessilis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",100,60,15.6,15,100,"shrub","Perennial",1.5,"no"
"Bougainvillea_spinosa","Caryophyllales","Nyctaginaceae","Bougainvillea","Bougainvillea spinosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,14,10,1,1,"shrub","Perennial",5,"yes"
"Senecio bellidioides","Asterales","Asteraceae","Brachyglottis","Brachyglottis bellidioides","Hermaphrodite","partially_self_compatible","medium",35,"Capitulum","actinomorphic",1,30,6.85,5,25,"herb","Perennial",0.05,"yes"
"Senecio bidwilli","Asterales","Asteraceae","Brachyglottis","Brachyglottis bidwillii","Hermaphrodite","partially_self_compatible","low",14.6626833333333,"Capitulum","actinomorphic",500,14.1,5.1,3,15,"shrub","Perennial",0.5,"yes"
"Brachycome scapiformis","Asterales","Asteraceae","Brachyscome","Brachyscome scapiformis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1,15,3,2,35,"herb","Perennial",0.3,"yes"
"Brachycome scapigera","Asterales","Asteraceae","Brachyscome","Brachyscome scapigera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,12,4.1,2,90,"herb","Perennial",0.2,"yes"
"Brachyome sinclairii","Asterales","Asteraceae","Brachyscome","Brachyscome sinclairii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,20,2.5,2,60,"herb","Perennial",0.09,"yes"
"Brachycome stolonifera","Asterales","Asteraceae","Brachyscome","Brachyscome stolonifera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,12.5,4.5,2,60,"herb","Perennial",0.15,"yes"
"Brassica fruticulosa","Brassicales","Brassicaceae","Brassica","Brassica fruticulosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",20,15,5.5,1.96,20.2,"shrub","Perennial",2,"yes"
"Brassica campestris","Brassicales","Brassicaceae","Brassica","Brassica rapa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,10,5,1,26,"herb","Short lived",0.75,"yes"
"Bredemeyera_microphylla","Fabales","Polygalaceae","Bredemeyera","Bredemeyera microphylla","Hermaphrodite","self_compatible","low",15.018875,"Papilionaceous","zygomorphic",50,6,7.14503333333333,1.5,3.5,"shrub","Perennial",0.25,"yes"
"Bredia hirsuta","Myrtales","Melastomataceae","Bredia","Bredia hirsuta","Hermaphrodite","self_compatible","low",5.63,"Open","actinomorphic",30,29.1,0.5,10,100,"shrub","Perennial",1,"no"
"Brocchinia acuminata","Poales","Bromeliaceae","Brocchinia","Brocchinia acuminata","Hermaphrodite","self_compatible","low",11.89065,"Open","actinomorphic",30,10.5,10.5,8,488.637195634921,"herb","Perennial",2,"yes"
"Rhus javanica","Sapindales","Simaroubaceae","Brucea","Brucea javanica","Monoecious","monoecious","none",0,"Open","actinomorphic",5000,1.75,0.9,1,4,"tree","Perennial",2.5,"no"
"Buddleja mendozensis","Lamiales","Scrophulariaceae","Buddleja","Buddleja mendozensis","Hermaphrodite","self_compatible","high",71,"Tube","actinomorphic",500,2,4,2.25,143,"shrub","Perennial",1.1,"yes"
"Bursera graveolens","Sapindales","Burseraceae","Bursera","Bursera graveolens","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2500,4.8,4,1,2,"tree","Perennial",6,"yes"
"Caesalpinia pulcherrima","Fabales","Fabaceae","Caesalpinia","Caesalpinia pulcherrima","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",2000,50,10,50,6,"shrub","Perennial",1.5,"yes"
"Calamagrostis arundinacea","Poales","Poaceae","Calamagrostis","Calamagrostis arundinacea","Hermaphrodite","self_compatible","low",14.515,"Open","zygomorphic",60,1,4,1,1,"herb","Perennial",0.45,"no"
"Calea lucidivenia","Asterales","Asteraceae","Calea","Calea lucidivenia","Hermaphrodite","self_compatible","low",17.4421166666667,"Capitulum","actinomorphic",50,26.5785553571429,9.4392,3,90,"herb","Perennial",0.541159166666666,"yes"
"Calendula arvensis","Asterales","Asteraceae","Calendula","Calendula arvensis","Hermaphrodite","self_compatible","medium",74.2,"Capitulum","actinomorphic",10,24.1,6,3,30,"herb","Short lived",0.25,"yes"
"Callicarpa japonica","Lamiales","Lamiaceae","Callicarpa","Callicarpa japonica","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,4,4,2.1,9,"shrub","Perennial",1,"yes"
"Calluna vulgaris","Ericales","Ericaceae","Calluna","Calluna vulgaris","Hermaphrodite","partially_self_compatible","low",10.9,"Campanulate","actinomorphic",2500,6,6,5,3.1,"shrub","Perennial",0.5,"yes"
"Calophyllum eputamen","Malpighiales","Clusiaceae","Calophyllum","Calophyllum eputamen","Hermaphrodite","self_compatible","low",7.22815769230769,"Open","actinomorphic",2000,15,6.9304119047619,10,1,"tree","Perennial",6.92346785714286,"no"
"Calopogon pulchellus","Asparagales","Orchidaceae","Calopogon","Calopogon tuberosus","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",10,37.5,17,10,7600,"herb","Perennial",0.7,"no"
"Calystegia hederacea","Solanales","Convolvulaceae","Calystegia hederacea","Calystegia hederacea","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,28.5,38.5,9.5,4,"vine","Perennial",0.3,"yes"
"Convolvulus sepium","Solanales","Convolvulaceae","Calystegia","Calystegia sepium","Hermaphrodite","self_compatible","low",5.3,"Campanulate","actinomorphic",10,60,55,22.5,4,"herb","Perennial",3,"yes"
"Camassia esculenta","Asparagales","Asparagaceae","Camassia","Camassia quamash","Hermaphrodite","self_compatible","low",9,"Open","zygomorphic",100,35,19,15,21,"herb","Perennial",0.45,"yes"
"Camassia scilloides","Asparagales","Asparagaceae","Camassia","Camassia scilloides","Hermaphrodite","self_compatible","low",13.39995,"Open","actinomorphic",40,20,13.5,0.5,30,"herb","Perennial",0.6,"yes"
"Campanula americana","Asterales","Campanulaceae","Campanula","Campanula americana","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,25,8,13.5,90,"herb","Short lived",1,"yes"
"Campanula gieseckiana","Asterales","Campanulaceae","Campanula","Campanula giesekiana","Hermaphrodite","self_incompatible","low",0.03,"Campanulate","actinomorphic",10,20,32.5,15,259.2,"herb","Perennial",0.2,"yes"
"Campanula rotundifolia","Asterales","Campanulaceae","Campanula","Campanula rotundifolia","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",5,22.5,22.5,10.5,112,"herb","Perennial",0.45,"yes"
